Web_page,Time_Stamp
"https://www.youtube.com/watch?v=kNAsRaoVqro","2020-08-07 15:31:11"
"https://www.youtube.com/watch?v=oplNOZXP5YU","2020-08-07 15:30:41"
"https://www.youtube.com/watch?v=3AyMjyHu1bA","2020-08-07 15:26:38"
"https://www.youtube.com/results?search_query=justin+bieber+intentions","2020-08-07 15:26:27"
"https://www.youtube.com/","2020-08-07 15:23:43"
"https://htmldog.com/guides/javascript/intermediate/thedom/","2020-07-24 18:28:05"
"https://htmldog.com/guides/javascript/intermediate/thedom","2020-07-24 18:28:04"
"https://htmldog.com/guides/javascript/intermediate/","2020-07-24 18:27:41"
"https://htmldog.com/guides/javascript/beginner/arrays/","2020-07-24 18:27:37"
"https://htmldog.com/guides/javascript/beginner/objects/","2020-07-24 18:27:32"
"https://htmldog.com/guides/javascript/beginner/logic/","2020-07-24 18:25:45"
"http://htmldog.com/guides/javascript/beginner/logic","2020-07-24 18:25:43"
"https://htmldog.com/guides/javascript/beginner/logic","2020-07-24 18:25:43"
"https://www.google.com/","2020-07-24 18:22:34"
"https://htmldog.com/guides/javascript/intermediate/","2020-07-24 13:23:00"
"https://htmldog.com/guides/javascript/beginner/arrays/","2020-07-24 13:07:35"
"https://htmldog.com/guides/javascript/beginner/objects/","2020-07-24 13:01:50"
"https://www.google.com/search?client=firefox-b-d&q=external+HDD+price","2020-07-24 12:54:16"
"https://htmldog.com/guides/javascript/beginner/functions/","2020-07-24 12:51:43"
"https://htmldog.com/guides/javascript/beginner/looping/","2020-07-24 12:36:40"
"https://htmldog.com/guides/javascript/beginner/conditional/","2020-07-24 12:33:31"
"https://htmldog.com/guides/javascript/beginner/logic","2020-07-24 12:23:26"
"https://htmldog.com/guides/javascript/beginner/logic/","2020-07-24 12:23:26"
"http://htmldog.com/guides/javascript/beginner/logic","2020-07-24 12:23:25"
"https://www.mozilla.org/en-US/firefox/welcome/8/?v=image","2020-07-24 12:22:27"
"https://www.google.com/","2020-07-24 12:22:25"
"https://www.mozilla.org/firefox/welcome/8","2020-07-24 12:22:25"
"https://www.mozilla.org/en-US/firefox/welcome/8","2020-07-24 12:22:25"
"https://www.mozilla.org/en-US/firefox/welcome/8/","2020-07-24 12:22:25"
"https://www.google.com/","2020-07-24 12:21:50"
"https://www.mozilla.org/en-US/firefox/78.0.2/whatsnew/india/?oldversion=77.0.1&v=4","2020-07-24 12:20:42"
"https://www.mozilla.org/en-US/firefox/78.0.2/whatsnew/?oldversion=77.0.1","2020-07-24 12:20:40"
"https://www.mozilla.org/firefox/78.0.2/whatsnew/india/?oldversion=77.0.1","2020-07-24 12:20:40"
"https://www.mozilla.org/en-US/firefox/78.0.2/whatsnew/india/?oldversion=77.0.1","2020-07-24 12:20:40"
